--------- beginning of main
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02           android.widget.LinearLayout id=privacy_chip_container vis=0 0x90 @1209,38
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02             com.oplus.systemui.privacy.OplusOngoingPrivacyChip id=privacy_chip vis=8 0x0 @1209,38
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02               android.widget.FrameLayout id=privacy_icons vis=0 0x0 @1209,38
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02                 com.oplus.systemui.privacy.OplusPrivacyIconContainer id=icons_container vis=0 0x0 @1209,38
09-20 22:42:39.942 25549 25549 I DuoSB   : P-02 hierarchy dump complete
09-20 22:42:40.939 25549 25549 I DuoSB   : P-03 module apk=/data/app/~~Qq9EACa4QTSzH1UOb8YnZw==/io.github.kvmy666.duostatusbar-Rhx1M43IQ42PoKQOrIaqbA==/base.apk
09-20 22:42:40.939 25549 25549 I DuoSB   : P-03 module nativeLibraryDir=/data/app/~~Qq9EACa4QTSzH1UOb8YnZw==/io.github.kvmy666.duostatusbar-Rhx1M43IQ42PoKQOrIaqbA==/lib/arm64
09-20 22:42:40.941 25549 25549 I DuoSB   : P-03 shared objects on disk: librive-android.so(3684792B), libc++_shared.so(1292904B), libandroidx.graphics.path.so(10096B)
09-20 22:42:40.947 25549 25549 I DuoSB   : P-03 loaded libc++_shared.so
09-20 22:42:40.951 25549 25549 I DuoSB   : P-03 loaded librive-android.so
09-20 22:42:40.952 25549 25549 I DuoSB   : P-03 loaded libandroidx.graphics.path.so
09-20 22:42:40.953 25549 25549 I DuoSB   : P-03 VERDICT: Rive can render INSIDE SystemUI (3/3 libraries loaded)
09-20 22:42:40.953 25549 25549 I DuoSB   : P-05 status_bar_height=122px density=3.025 densityDpi=484 screen=1272x2772 orientation=1 fontScale=1.0
09-20 22:42:40.954 25549 25549 I DuoSB   : ================ PHASE 0 PROBES DONE ================
